timestamps,TP9,AF7,AF8,TP10,Right AUX
1712217076.830,-45.410,-25.391,-50.293,-51.758,0.000
1712217076.834,-53.223,-29.297,-49.316,-49.805,0.000
1712217076.837,-60.547,-30.762,-42.480,-41.992,0.000
1712217076.840,-48.340,-21.484,-40.039,-52.246,0.000
1712217076.844,-51.758,-21.973,-36.621,-42.969,0.000
1712217076.847,-51.270,-25.879,-33.203,-30.762,0.000
1712217076.852,-24.414,-32.227,-36.133,-41.016,0.000
1712217076.856,-25.391,-36.133,-38.086,-48.828,0.000
1712217076.859,-45.410,-42.480,-34.180,-52.734,0.000
1712217076.863,-53.223,-43.457,-32.227,-45.410,0.000
1712217076.866,-49.805,-27.344,-43.945,-56.152,0.000
1712217076.869,-56.152,-29.785,-46.875,-62.500,0.000
1712217076.873,-73.730,-33.691,-39.551,-71.289,0.000
1712217076.876,-76.660,-27.832,-41.504,-62.500,0.000
1712217076.880,-39.551,-43.945,-40.039,-51.758,0.000
1712217076.883,-41.016,-41.992,-38.574,-75.684,0.000
1712217076.887,-54.688,-37.598,-33.691,-48.828,0.000
1712217076.890,-53.711,-46.875,-27.832,-28.809,0.000
1712217076.895,-36.621,-44.922,-28.809,-31.738,0.000
1712217076.899,-31.250,-23.438,-40.039,-51.758,0.000
1712217076.902,-42.480,-22.949,-42.969,-65.918,0.000
1712217076.906,-47.852,-46.387,-33.691,-30.762,0.000
1712217076.909,-39.551,-44.922,-30.762,-28.809,0.000
1712217076.913,-33.691,-34.180,-33.203,-34.180,0.000
1712217076.916,-33.203,-26.855,-41.992,-29.297,0.000
1712217076.919,-37.598,-39.551,-45.410,-48.340,0.000
1712217076.923,-51.270,-50.293,-43.457,-49.316,0.000
1712217076.926,-34.180,-55.664,-42.969,-48.828,0.000
1712217076.930,-39.062,-53.223,-43.945,-53.711,0.000
1712217076.933,-40.039,-40.039,-51.758,-58.594,0.000
1712217076.939,-37.109,-36.133,-46.875,-37.598,0.000
1712217076.942,-46.387,-58.105,-34.668,-37.109,0.000
1712217076.945,-34.668,-48.828,-33.691,-39.551,0.000
1712217076.949,-41.016,-25.879,-30.273,-21.973,0.000
1712217076.952,-37.598,-36.133,-29.785,-28.320,0.000
1712217076.956,-36.133,-37.109,-33.203,-42.969,0.000
1712217076.959,-52.246,-34.668,-29.785,-43.945,0.000
1712217076.963,-38.574,-33.691,-31.738,-40.527,0.000
1712217076.966,-12.207,-33.691,-33.691,-55.664,0.000
1712217076.970,-23.438,-38.574,-30.273,-56.641,0.000
1712217076.973,-47.363,-46.875,-33.203,-61.035,0.000
1712217076.977,-45.410,-40.039,-33.203,-62.012,0.000
1712217076.982,-44.434,-34.668,-33.203,-43.945,0.000
1712217076.986,-30.273,-54.199,-34.668,-34.668,0.000
1712217076.989,-41.992,-36.621,-37.598,-44.922,0.000
1712217076.993,-66.406,-34.668,-36.621,-60.547,0.000
1712217076.996,-53.223,-36.133,-33.691,-51.758,0.000
1712217077.000,-50.293,-27.344,-37.109,-46.875,0.000
1712217077.003,-40.039,-45.410,-29.785,-40.527,0.000
1712217077.007,-40.527,-32.715,-32.227,-47.363,0.000
1712217077.010,-46.387,-33.691,-27.344,-57.617,0.000
1712217077.014,-28.809,-47.363,-13.672,-38.574,0.000
1712217077.017,-34.668,-39.551,-20.020,-47.363,0.000
1712217077.021,-51.270,-39.062,-25.391,-50.293,0.000
1712217077.026,-49.805,-27.832,-32.715,-46.387,0.000
1712217077.029,-40.039,-27.344,-39.062,-59.570,0.000
1712217077.033,-41.992,-53.223,-30.762,-53.223,0.000
1712217077.036,-52.246,-55.664,-25.391,-48.340,0.000
1712217077.040,-43.945,-38.574,-35.645,-58.105,0.000
1712217077.043,-29.785,-44.922,-39.551,-47.852,0.000
1712217077.047,-27.832,-40.527,-38.086,-41.016,0.000
1712217077.050,-27.832,-35.156,-30.762,-44.922,0.000
1712217077.054,-28.809,-28.809,-36.621,-57.617,0.000
1712217077.058,-16.602,-32.715,-38.574,-43.457,0.000
1712217077.061,-16.113,-38.574,-37.109,-40.039,0.000
1712217077.065,-28.320,-26.855,-41.992,-54.199,0.000
1712217077.072,-24.414,-38.574,-43.945,-50.293,0.000
1712217077.075,-24.902,-42.969,-43.945,-51.758,0.000
1712217077.079,-35.156,-36.621,-44.922,-49.805,0.000
1712217077.082,-29.785,-45.410,-40.039,-42.480,0.000
1712217077.086,-20.508,-40.527,-39.062,-48.828,0.000
1712217077.089,-26.367,-43.945,-41.992,-41.992,0.000
1712217077.093,-39.062,-36.133,-42.480,-47.363,0.000
1712217077.096,-23.438,-28.809,-37.598,-54.688,0.000
1712217077.100,-25.879,-29.785,-43.945,-50.293,0.000
1712217077.103,-24.902,-30.762,-52.246,-46.875,0.000
1712217077.107,-12.207,-42.480,-39.062,-36.621,0.000
1712217077.110,-26.855,-30.273,-32.715,-39.551,0.000
1712217077.117,-27.344,-23.438,-34.668,-45.410,0.000
1712217077.121,-33.203,-18.555,-38.086,-55.664,0.000
1712217077.124,-28.809,-34.180,-32.715,-51.270,0.000
1712217077.128,-9.766,-39.062,-27.344,-39.062,0.000
1712217077.131,-8.301,-41.504,-22.949,-28.809,0.000
1712217077.135,-39.551,-34.668,-31.250,-41.504,0.000
1712217077.139,-51.270,-39.062,-25.391,-28.320,0.000
1712217077.142,-37.109,-40.039,-28.320,-35.645,0.000
1712217077.146,-25.879,-34.668,-30.762,-37.109,0.000
1712217077.149,-18.555,-43.457,-23.926,-20.508,0.000
1712217077.153,-25.391,-35.156,-28.320,-35.156,0.000
