start_timestamp,in_the_zone,is_mountain
1712219373.7015803,0,False
1712219374.502312,0,False
1712219375.302981,0,False
1712219376.1036441,0,True
1712219376.904313,0,False
1712219377.704977,0,False
1712219378.5056417,0,False
1712219379.3062994,0,False
1712219380.1069682,0,False
1712219380.907642,0,False
1712219381.7083304,0,False
1712219382.5090024,0,False
1712219383.3096774,0,False
1712219384.1103466,0,False
1712219384.9110155,0,False
1712219385.7116861,0,False
1712219386.512345,0,True
1712219387.313013,0,False
1712219388.1136727,0,True
1712219388.914343,0,False
1712219389.7150023,0,False
1712219390.5156727,0,False
1712219391.316348,0,False
1712219392.1170056,0,False
1712219392.9176674,0,False
1712219393.7183304,0,False
1712219394.5190043,0,False
1712219395.3196726,0,False
1712219396.1203418,0,False
1712219396.9210036,0,False
1712219397.721665,0,False
1712219398.522325,0,True
1712219399.3229866,0,False
1712219400.1236587,0,False
1712219400.9243197,0,False
1712219401.7249846,0,False
1712219402.525659,0,False
1712219403.3263314,0,False
1712219404.1269894,1,False
1712219404.9276485,1,False
1712219405.7283092,1,False
1712219406.528982,1,False
1712219407.3296542,1,False
1712219408.1303267,1,False
1712219408.9309843,1,False
1712219409.7316568,1,False
1712219410.5323293,1,False
1712219411.3330054,0,True
1712219412.133675,0,False
1712219412.934347,0,False
1712219413.735006,0,False
1712219414.535668,0,False
1712219415.3363369,0,True
1712219416.1369994,0,False
1712219416.9376693,0,False
1712219417.7383423,0,False
1712219418.5390112,0,False
1712219419.339678,0,False
1712219420.140342,0,False
1712219420.9410155,0,False
1712219421.7416875,0,False
1712219422.542358,0,False
1712219423.3430333,0,False
1712219424.1437042,0,False
1712219424.944371,0,True
1712219425.7450416,0,False
1712219426.5457053,0,True
1712219427.3463664,0,False
1712219428.1470432,1,False
1712219428.9477055,1,False
1712219429.7483668,1,False
1712219430.5490403,1,False
1712219431.3497074,1,False
1712219432.150378,1,False
1712219432.9510474,1,False
1712219433.7517169,1,False
1712219434.5523932,1,False
1712219435.3530548,1,False
1712219436.1537275,1,False
1712219436.9543948,1,False
1712219437.7550542,0,False
1712219438.5557153,0,False
1712219439.3563836,0,False
1712219440.1570377,0,False
1712219440.957695,0,False
1712219441.7583606,0,False
1712219442.5590348,0,False
1712219443.3596935,0,False
1712219444.1603646,0,False
1712219444.9610243,0,False
1712219445.7616937,0,False
1712219446.5623572,0,False
1712219447.3630276,0,True
1712219448.1636918,0,False
1712219448.9643517,0,True
1712219449.7650607,0,False
1712219450.565747,0,False
1712219451.3664117,0,False
1712219452.1671433,0,False
1712219452.9678085,1,False
1712219453.7684672,1,False
1712219454.5691383,1,False
1712219455.3698049,1,False
1712219456.170478,1,True
1712219456.9711404,1,False
1712219457.7718024,1,False
1712219458.5724618,1,False
1712219459.3731198,0,False
1712219460.1738017,0,False
1712219460.9744618,0,False
1712219461.7751262,0,False
1712219462.5758011,0,False
1712219463.376466,0,False
1712219464.1771271,1,False
1712219464.9777932,1,False
1712219465.7784638,1,False
1712219466.5791352,1,False
1712219467.3798048,1,False
1712219468.1804695,1,False
1712219468.9811296,1,False
1712219469.7817957,1,False
1712219470.5824642,1,False
1712219471.3831635,1,False
1712219472.1838307,1,False
1712219472.9845026,1,False
1712219473.785169,1,False
1712219474.585829,1,True
1712219475.386494,1,False
1712219476.187168,1,False
1712219476.9878404,1,False
1712219477.7885027,1,False
1712219478.5891707,1,False
1712219479.3898387,1,False
1712219480.1905084,1,False
1712219480.991169,1,False
1712219481.791839,1,False
1712219482.5925124,1,True
1712219483.393175,1,False
1712219484.193846,1,False
1712219484.994518,1,True
1712219485.7951913,1,False
1712219486.5958557,1,False
1712219487.3965223,1,False
1712219488.1971886,1,False
1712219488.9978585,1,False
1712219489.7985208,1,False
1712219490.5991902,1,False
1712219491.39985,1,False
1712219492.2005105,1,False
1712219493.0011811,1,False
1712219493.8018386,1,False
1712219494.6024961,1,False
1712219495.4031603,0,False
1712219496.203825,0,False
1712219497.0044932,0,False
1712219497.8051636,0,False
1712219498.6058204,0,False
1712219499.4064767,0,False
1712219500.2071428,0,False
1712219501.007815,0,False
1712219501.8084807,0,False
