channel,band,feature_type,window_shift,subject_id,mean_correlation
AF7,beta,total_variation,win-8,10,-0.11482658320756924
AF7,beta,total_variation,win-9,10,-0.10861533879398523
AF7,beta,total_variation,win0,10,-0.1214826853079893
AF7,delta,approx_entropy,win-1,10,0.029016998315248354
AF7,delta,approx_entropy,win-2,10,0.04446774138849425
AF7,delta,approx_entropy,win-3,10,0.05411537381378595
AF7,delta,approx_entropy,win-4,10,0.07096728160036189
AF7,delta,approx_entropy,win-5,10,0.08535166059853387
AF7,delta,approx_entropy,win-6,10,0.08361513931616142
AF7,delta,approx_entropy,win-7,10,0.09914504153768192
AF7,delta,approx_entropy,win-8,10,0.1108154452390936
AF7,delta,approx_entropy,win-9,10,0.12052054241425815
AF7,delta,approx_entropy,win0,10,0.02442968849622337
AF7,delta,energy,win-1,10,-0.16726017739346255
AF7,delta,energy,win-2,10,-0.1660686554339115
AF7,delta,energy,win-3,10,-0.17036760341741838
AF7,delta,energy,win-4,10,-0.1736526200667743
AF7,delta,energy,win-5,10,-0.17818408280933823
AF7,delta,energy,win-6,10,-0.18088219992517232
AF7,delta,energy,win-7,10,-0.18315816661998316
AF7,delta,energy,win-8,10,-0.18530580871883165
AF7,delta,energy,win-9,10,-0.18630707088402004
AF7,delta,energy,win0,10,-0.16550519278389533
AF7,delta,skewness,win-1,10,0.04956740548399544
AF7,delta,skewness,win-2,10,0.06588630366710359
AF7,delta,skewness,win-3,10,0.06265071346912396
AF7,delta,skewness,win-4,10,0.074727840244209
AF7,delta,skewness,win-5,10,0.05283270889243313
AF7,delta,skewness,win-6,10,0.06502883684871094
AF7,delta,skewness,win-7,10,0.04512261822908487
AF7,delta,skewness,win-8,10,0.0626010339171533
AF7,delta,skewness,win-9,10,0.056963753050344804
AF7,delta,skewness,win0,10,0.06488442415311046
AF7,delta,standard_deviation,win-1,10,-0.1488861292893937
AF7,delta,standard_deviation,win-2,10,-0.14846986229011294
AF7,delta,standard_deviation,win-3,10,-0.15098150524288823
AF7,delta,standard_deviation,win-4,10,-0.15333354718340866
AF7,delta,standard_deviation,win-5,10,-0.15617949792137156
AF7,delta,standard_deviation,win-6,10,-0.15823600256587245
AF7,delta,standard_deviation,win-7,10,-0.16004835903141576
AF7,delta,standard_deviation,win-8,10,-0.16185307090589435
AF7,delta,standard_deviation,win-9,10,-0.1633082437885576
AF7,delta,standard_deviation,win0,10,-0.14735450386979784
AF7,delta,total_variation,win-1,10,-0.14601568588438818
AF7,delta,total_variation,win-2,10,-0.14539534812997637
AF7,delta,total_variation,win-3,10,-0.14753535294555095
AF7,delta,total_variation,win-4,10,-0.150031553146646
AF7,delta,total_variation,win-5,10,-0.15233844689267714
AF7,delta,total_variation,win-6,10,-0.1544083030374007
AF7,delta,total_variation,win-7,10,-0.15648697930457886
AF7,delta,total_variation,win-8,10,-0.15831108780416708
AF7,delta,total_variation,win-9,10,-0.15982933765503873
AF7,delta,total_variation,win0,10,-0.14475102454518401
AF7,gamma,approx_entropy,win-1,10,0.06873049489694287
AF7,gamma,approx_entropy,win-2,10,0.07950630995727208
AF7,gamma,approx_entropy,win-3,10,0.08920572047107275
AF7,gamma,approx_entropy,win-4,10,0.10071503293424137
AF7,gamma,approx_entropy,win-5,10,0.09013609826885813
AF7,gamma,approx_entropy,win-6,10,0.0873894817045324
AF7,gamma,approx_entropy,win-7,10,0.11530279859921744
AF7,gamma,approx_entropy,win-8,10,0.11897528436476257
AF7,gamma,approx_entropy,win-9,10,0.12977604577055352
AF7,gamma,approx_entropy,win0,10,0.05775913506917815
AF7,gamma,energy,win-1,10,-0.04573009516154783
AF7,gamma,energy,win-2,10,-0.055866945355188234
AF7,gamma,energy,win-3,10,-0.06030496430320781
AF7,gamma,energy,win-4,10,-0.05675876157456538
AF7,gamma,energy,win-5,10,-0.048764534375947514
AF7,gamma,energy,win-6,10,-0.025244562488102095
AF7,gamma,energy,win-7,10,-0.022317343914439
AF7,gamma,energy,win-8,10,-0.03510101720516832
AF7,gamma,energy,win-9,10,-0.047602464643416234
AF7,gamma,energy,win0,10,-0.04194105027880747
AF7,gamma,skewness,win-1,10,-0.01562851470639251
AF7,gamma,skewness,win-2,10,-0.014222732582686411
AF7,gamma,skewness,win-3,10,-0.023808585490511253
AF7,gamma,skewness,win-4,10,-0.02301307940768739
AF7,gamma,skewness,win-5,10,-0.011610537696766855
