Subject,Channel,Num_Features,Metric,Value
2,AF7,10,train_acc,0.6034419732460586
2,AF7,10,test_acc,0.5551675525019444
2,AF7,10,f1_score,0.49619866593149464
2,AF8,10,train_acc,0.6088141250945525
2,AF8,10,test_acc,0.5933718995765276
2,AF8,10,f1_score,0.5818166878782249
2,TP9,10,train_acc,0.5700090803688507
2,TP9,10,test_acc,0.525276013309135
2,TP9,10,f1_score,0.6016544187081434
2,TP10,10,train_acc,0.572342131332862
2,TP10,10,test_acc,0.49782268170426064
2,TP10,10,f1_score,0.4880498574650785
2,Combined,10,train_acc,0.5963161209988708
2,Combined,10,test_acc,0.5548753348889465
2,Combined,10,f1_score,0.47745799453130056
2,AF7,20,train_acc,0.6349134656684136
2,AF7,20,test_acc,0.5658640134819807
2,AF7,20,f1_score,0.521141044878879
2,AF8,20,train_acc,0.6309565227315845
2,AF8,20,test_acc,0.594788155734163
2,AF8,20,f1_score,0.6044655304491486
2,TP9,20,train_acc,0.5746993999251255
2,TP9,20,test_acc,0.5472350056174919
2,TP9,20,f1_score,0.6338990174481419
2,TP10,20,train_acc,0.5818271578427247
2,TP10,20,test_acc,0.49843142338605134
2,TP10,20,f1_score,0.3918148190536188
2,Combined,20,train_acc,0.6233395340750445
2,Combined,20,test_acc,0.562014411027569
2,Combined,20,f1_score,0.5014013643287304
2,AF7,30,train_acc,0.6578811601246617
2,AF7,30,test_acc,0.571254645233774
2,AF7,30,f1_score,0.5240836498946898
2,AF8,30,train_acc,0.6294273798888506
2,AF8,30,test_acc,0.5879083484573503
2,AF8,30,f1_score,0.5888239795293997
2,TP9,30,train_acc,0.6009064666197295
2,TP9,30,test_acc,0.532617103102584
2,TP9,30,f1_score,0.6019242589063067
2,TP10,30,train_acc,0.6269311048179004
2,TP10,30,test_acc,0.48297143721372393
2,TP10,30,f1_score,0.47237602419834934
2,Combined,30,train_acc,0.6696872410142809
2,Combined,30,test_acc,0.5686338691556477
2,Combined,30,f1_score,0.5235481187647009
2,AF7,40,train_acc,0.666361766994251
2,AF7,40,test_acc,0.5826581540057039
2,AF7,40,f1_score,0.5464131248402349
2,AF8,40,train_acc,0.6405046060295008
2,AF8,40,test_acc,0.5816313412842451
2,AF8,40,f1_score,0.5790465046223774
2,TP9,40,train_acc,0.6498401807842751
2,TP9,40,test_acc,0.5493561489931726
2,TP9,40,f1_score,0.5892881342796035
2,TP10,40,train_acc,0.6801117201735272
2,TP10,40,test_acc,0.5004683043816438
2,TP10,40,f1_score,0.489302443039083
2,Combined,40,train_acc,0.6825436675082225
2,Combined,40,test_acc,0.5603340247169648
2,Combined,40,f1_score,0.5428282481863516
2,AF7,50,train_acc,0.6931771251246814
2,AF7,50,test_acc,0.5900700025926887
2,AF7,50,f1_score,0.5751379296062608
2,AF8,50,train_acc,0.6350392454331726
2,AF8,50,test_acc,0.584938099559243
2,AF8,50,f1_score,0.5810115327270642
2,TP9,50,train_acc,0.6561905205025556
2,TP9,50,test_acc,0.5390782991962665
