Subject,Channel,Num_Features,Metric,Value
3,AF7,10,train_acc,0.5816713915856182
3,AF7,10,test_acc,0.5568753160694357
3,AF7,10,f1_score,0.49719794948488055
3,AF8,10,train_acc,0.5930564553032365
3,AF8,10,test_acc,0.5721071379282845
3,AF8,10,f1_score,0.542206652958535
3,TP9,10,train_acc,0.5686594942020606
3,TP9,10,test_acc,0.5236427518801804
3,TP9,10,f1_score,0.5049169268703113
3,TP10,10,train_acc,0.5572308158767548
3,TP10,10,test_acc,0.5337645009911268
3,TP10,10,f1_score,0.3831897421946019
3,Combined,10,train_acc,0.593261585308983
3,Combined,10,test_acc,0.5814142337378544
3,Combined,10,f1_score,0.5595817419219389
3,AF7,20,train_acc,0.5859064428856964
3,AF7,20,test_acc,0.5610121964002348
3,AF7,20,f1_score,0.5052144543638788
3,AF8,20,train_acc,0.5979591912078941
3,AF8,20,test_acc,0.5785548708478803
3,AF8,20,f1_score,0.5580063997471005
3,TP9,20,train_acc,0.5959492687783204
3,TP9,20,test_acc,0.5316812363036577
3,TP9,20,f1_score,0.5084902782253762
3,TP10,20,train_acc,0.5759898096243792
3,TP10,20,test_acc,0.5345168775706385
3,TP10,20,f1_score,0.44834020705297545
3,Combined,20,train_acc,0.5930289932503608
3,Combined,20,test_acc,0.5797588476759017
3,Combined,20,f1_score,0.5569214751398995
3,AF7,30,train_acc,0.5879750452432615
3,AF7,30,test_acc,0.5638395583790694
3,AF7,30,f1_score,0.5116356510919003
3,AF8,30,train_acc,0.5964195778162547
3,AF8,30,test_acc,0.5861705803166162
3,AF8,30,f1_score,0.57047772377962
3,TP9,30,train_acc,0.5955593182425372
3,TP9,30,test_acc,0.5396895643005213
3,TP9,30,f1_score,0.51136802480819
3,TP10,30,train_acc,0.5951564330595467
3,TP10,30,test_acc,0.5268428459787373
3,TP10,30,f1_score,0.4618229478999809
3,Combined,30,train_acc,0.5987699630080159
3,Combined,30,test_acc,0.5842987956292045
3,Combined,30,f1_score,0.5617482049781998
3,AF7,40,train_acc,0.5846745529155862
3,AF7,40,test_acc,0.5652895589998668
3,AF7,40,f1_score,0.5114579991285326
3,AF8,40,train_acc,0.5972972337493155
3,AF8,40,test_acc,0.582709619995597
3,AF8,40,f1_score,0.5742783870055893
3,TP9,40,train_acc,0.6041898207213652
3,TP9,40,test_acc,0.5321289028456875
3,TP9,40,f1_score,0.4954396366011524
3,TP10,40,train_acc,0.6255695385839375
3,TP10,40,test_acc,0.5329014941399114
3,TP10,40,f1_score,0.5007072552609915
3,Combined,40,train_acc,0.6003694634930581
3,Combined,40,test_acc,0.5796068537940987
3,Combined,40,f1_score,0.5567007922055052
3,AF7,50,train_acc,0.5819897182899754
3,AF7,50,test_acc,0.5597233344841961
3,AF7,50,f1_score,0.513700002635215
3,AF8,50,train_acc,0.5999120563740825
3,AF8,50,test_acc,0.5811660640156708
3,AF8,50,f1_score,0.5754886601733679
3,TP9,50,train_acc,0.6597161522460178
3,TP9,50,test_acc,0.5435794717348564
3,TP9,50,f1_score,0.5027563525514952
3,TP10,50,train_acc,0.621389521374212
3,TP10,50,test_acc,0.5374426836879758
3,TP10,50,f1_score,0.47519869196582487
3,Combined,50,train_acc,0.5992175192637856
3,Combined,50,test_acc,0.5837771945068029
3,Combined,50,f1_score,0.5575042745177843
3,AF7,60,train_acc,0.5820855363252908
3,AF7,60,test_acc,0.565947753453663
3,AF7,60,f1_score,0.522079409051014
3,AF8,60,train_acc,0.601476737651381
3,AF8,60,test_acc,0.5851774776142852
3,AF8,60,f1_score,0.5830236041170217
3,TP9,60,train_acc,0.6812937584035328
3,TP9,60,test_acc,0.5439585252432929
3,TP9,60,f1_score,0.5014004853448544
3,TP10,60,train_acc,0.6296025110202811
3,TP10,60,test_acc,0.5465545596135011
3,TP10,60,f1_score,0.49870047435843257
3,Combined,60,train_acc,0.604485657597029
3,Combined,60,test_acc,0.5787773908936666
3,Combined,60,f1_score,0.5491733814785811
3,AF7,70,train_acc,0.5780122157643613
3,AF7,70,test_acc,0.5726089750109952
3,AF7,70,f1_score,0.5326875970920699
3,AF8,70,train_acc,0.6005280851871537
3,AF8,70,test_acc,0.5860990095416557
3,AF8,70,f1_score,0.5873312272394278
3,TP9,70,train_acc,0.7031945913592061
3,TP9,70,test_acc,0.5507338869652129
3,TP9,70,f1_score,0.5130250128212286
3,TP10,70,train_acc,0.6474529693458829
3,TP10,70,test_acc,0.5389174236813189
3,TP10,70,f1_score,0.49284175537291164
3,Combined,70,train_acc,0.5986372825852146
3,Combined,70,test_acc,0.5791017336483164
3,Combined,70,f1_score,0.5449230741990261
3,AF7,80,train_acc,0.578775446605478
3,AF7,80,test_acc,0.5671810629579277
3,AF7,80,f1_score,0.5267969062438337
3,AF8,80,train_acc,0.6002345153142534
3,AF8,80,test_acc,0.592630284478012
3,AF8,80,f1_score,0.5932370412842201
3,TP9,80,train_acc,0.7194209790258255
3,TP9,80,test_acc,0.5391489452891269
3,TP9,80,f1_score,0.5009362706737848
3,TP10,80,train_acc,0.6611591913214305
3,TP10,80,test_acc,0.5447702178186995
3,TP10,80,f1_score,0.4981491193068039
3,Combined,80,train_acc,0.6050967288717229
3,Combined,80,test_acc,0.573580364728012
3,Combined,80,f1_score,0.5407072244252065
3,AF7,90,train_acc,0.5761675263381705
3,AF7,90,test_acc,0.5669654074985638
3,AF7,90,f1_score,0.5330970188551312
3,AF8,90,train_acc,0.5986315905983424
3,AF8,90,test_acc,0.589946875861058
3,AF8,90,f1_score,0.5905875573615877
3,TP9,90,train_acc,0.7492950611261108
3,TP9,90,test_acc,0.5626489525715577
3,TP9,90,f1_score,0.5285370430210042
3,TP10,90,train_acc,0.6640383398860834
3,TP10,90,test_acc,0.5424308354118107
3,TP10,90,f1_score,0.5034600473072528
3,Combined,90,train_acc,0.6062251965637646
3,Combined,90,test_acc,0.5813121961375897
3,Combined,90,f1_score,0.5503505604543061
3,AF7,100,train_acc,0.6230138866295422
3,AF7,100,test_acc,0.5657380403384586
3,AF7,100,f1_score,0.5185562648141485
3,AF8,100,train_acc,0.6032516906118218
3,AF8,100,test_acc,0.5871295899012503
3,AF8,100,f1_score,0.5877978056968661
3,TP9,100,train_acc,0.7680413587319583
3,TP9,100,test_acc,0.564974095438524
3,TP9,100,f1_score,0.5370943306981522
3,TP10,100,train_acc,0.6942190940939097
3,TP10,100,test_acc,0.5391706105207965
3,TP10,100,f1_score,0.5016828820898691
3,Combined,100,train_acc,0.6075529623506528
3,Combined,100,test_acc,0.5798335075147523
3,Combined,100,f1_score,0.5498246784934265
3,AF7,110,train_acc,0.6520811120272494
3,AF7,110,test_acc,0.5654517781308365
3,AF7,110,f1_score,0.5155334554054558
3,AF8,110,train_acc,0.6283633782573909
3,AF8,110,test_acc,0.5801172686252347
3,AF8,110,f1_score,0.57339965053265
3,TP9,110,train_acc,0.7679348018672736
3,TP9,110,test_acc,0.5604307569764494
3,TP9,110,f1_score,0.5295766336483264
3,TP10,110,train_acc,0.6934435858011236
3,TP10,110,test_acc,0.5539314560898074
3,TP10,110,f1_score,0.5137955539768003
3,Combined,110,train_acc,0.6162304943370971
3,Combined,110,test_acc,0.5819100329691163
3,Combined,110,f1_score,0.5500059469139241
3,AF7,120,train_acc,0.6794892019014339
3,AF7,120,test_acc,0.5651908790777433
3,AF7,120,f1_score,0.5177999665038258
3,AF8,120,train_acc,0.624318925664179
3,AF8,120,test_acc,0.5844908339266723
3,AF8,120,f1_score,0.5786655185801128
3,TP9,120,train_acc,0.7934688381667627
3,TP9,120,test_acc,0.5580822297466048
3,TP9,120,f1_score,0.5333012444260353
3,TP10,120,train_acc,0.7058436632891677
3,TP10,120,test_acc,0.5478791293173473
3,TP10,120,f1_score,0.5080054809589432
3,Combined,120,train_acc,0.6148514067279749
3,Combined,120,test_acc,0.5756926337854171
3,Combined,120,f1_score,0.5491967676114655
3,AF7,130,train_acc,0.6512108680929508
3,AF7,130,test_acc,0.5695239791345225
3,AF7,130,f1_score,0.5223419920851804
3,AF8,130,train_acc,0.6589340836190783
3,AF8,130,test_acc,0.5784451837106588
3,AF8,130,f1_score,0.5721272532674585
3,TP9,130,train_acc,0.7975636102872382
3,TP9,130,test_acc,0.5670899072194437
3,TP9,130,f1_score,0.5372143507578856
3,TP10,130,train_acc,0.7120214271071581
3,TP10,130,test_acc,0.5520776625880279
3,TP10,130,f1_score,0.5089486740069586
3,Combined,130,train_acc,0.6172563485611399
3,Combined,130,test_acc,0.5845297412086734
3,Combined,130,f1_score,0.5610378605697087
3,AF7,140,train_acc,0.6965663747193063
3,AF7,140,test_acc,0.5627504320511002
3,AF7,140,f1_score,0.523291163046092
3,AF8,140,train_acc,0.6258693663837681
3,AF8,140,test_acc,0.5908338580265042
3,AF8,140,f1_score,0.5811209591187102
3,TP9,140,train_acc,0.8011701464040636
3,TP9,140,test_acc,0.5728381238595832
3,TP9,140,f1_score,0.5468538040488482
3,TP10,140,train_acc,0.7359025743966672
3,TP10,140,test_acc,0.5469364096947539
3,TP10,140,f1_score,0.5087724091003493
3,Combined,140,train_acc,0.6208299880337411
3,Combined,140,test_acc,0.578737555400197
3,Combined,140,f1_score,0.5581633907593572
3,AF7,150,train_acc,0.689209537858295
3,AF7,150,test_acc,0.5591017163376201
3,AF7,150,f1_score,0.5220801356686257
3,AF8,150,train_acc,0.6567297433271004
3,AF8,150,test_acc,0.5842591541349165
3,AF8,150,f1_score,0.5805162798652155
3,TP9,150,train_acc,0.8023483155331503
3,TP9,150,test_acc,0.5639937548977332
3,TP9,150,f1_score,0.5373340003347286
3,TP10,150,train_acc,0.7459820465104515
3,TP10,150,test_acc,0.5470864993999756
3,TP10,150,f1_score,0.5135517025511269
3,Combined,150,train_acc,0.6194339726913304
3,Combined,150,test_acc,0.5793993970386054
3,Combined,150,f1_score,0.5615188174766255
3,AF7,160,train_acc,0.710120195093164
3,AF7,160,test_acc,0.5583686143229417
3,AF7,160,f1_score,0.5172407367434496
3,AF8,160,train_acc,0.6742639396935755
3,AF8,160,test_acc,0.5827859362889974
3,AF8,160,f1_score,0.5742306456252347
3,TP9,160,train_acc,0.8101065536955068
3,TP9,160,test_acc,0.5672797637722705
3,TP9,160,f1_score,0.53583097675307
3,TP10,160,train_acc,0.7711099416735882
3,TP10,160,test_acc,0.5601707861348247
3,TP10,160,f1_score,0.5322604935808394
3,Combined,160,train_acc,0.6165984848620011
3,Combined,160,test_acc,0.581542965625494
3,Combined,160,f1_score,0.5645873038400975
3,AF7,170,train_acc,0.6954128926888942
3,AF7,170,test_acc,0.5556275640722589
3,AF7,170,f1_score,0.5057972045474933
3,AF8,170,train_acc,0.652356760093687
3,AF8,170,test_acc,0.5948948130468689
3,AF8,170,f1_score,0.5856007771437212
3,TP9,170,train_acc,0.7932153252079454
3,TP9,170,test_acc,0.5664917182047877
3,TP9,170,f1_score,0.5364116806053105
3,TP10,170,train_acc,0.7767732463180531
3,TP10,170,test_acc,0.5522616275349426
3,TP10,170,f1_score,0.522369642947012
3,Combined,170,train_acc,0.6112105162877117
3,Combined,170,test_acc,0.5853772758790132
3,Combined,170,f1_score,0.568046859976206
3,AF7,180,train_acc,0.6749852121960357
3,AF7,180,test_acc,0.555062172857688
3,AF7,180,f1_score,0.5032830452015815
3,AF8,180,train_acc,0.6701422119155991
3,AF8,180,test_acc,0.5868352274816495
3,AF8,180,f1_score,0.5759197797595084
3,TP9,180,train_acc,0.8058133819611453
3,TP9,180,test_acc,0.5660426876992819
3,TP9,180,f1_score,0.5381001521699474
3,TP10,180,train_acc,0.766649785516762
3,TP10,180,test_acc,0.5545785120059825
3,TP10,180,f1_score,0.5150766399717277
