timestamps,TP9,AF7,AF8,TP10,Right AUX
1711990017.567,-21.973,-76.172,-63.477,-13.184,0
1711990017.571,-96.68,-81.543,-63.965,-13.672,0
1711990017.574,-61.523,-81.055,-59.57,-22.461,0
1711990017.578,-36.621,-81.543,-57.129,-4.883,0
1711990017.581,-51.758,-83.496,-51.758,-5.371,0
1711990017.585,-37.109,-85.938,-40.527,13.184,0
1711990017.588,-6.836,-78.613,-42.969,27.832,0
1711990017.592,-21.484,-65.43,-53.223,-25.391,0
1711990017.595,-19.043,-65.918,-49.805,-20.02,0
1711990017.598,-53.711,-70.312,-40.039,21.484,0
1711990017.602,-68.359,-65.43,-37.598,29.297,0
1711990017.605,-11.719,-52.246,-41.504,-0.977,0
1711990017.606,-11.719,-42.969,-42.969,8.301,0
1711990017.609,-37.109,-45.898,-37.109,39.062,0
1711990017.613,-19.531,-46.875,-38.086,34.668,0
1711990017.616,-0.977,-40.039,-40.527,-0.488,0
1711990017.62,-2.93,-47.852,-33.691,27.832,0
1711990017.623,-1.465,-58.105,-28.32,39.551,0
1711990017.626,-19.043,-60.547,-29.785,22.461,0
1711990017.63,-7.324,-56.152,-33.691,28.809,0
1711990017.633,4.883,-50.293,-27.344,30.762,0
1711990017.637,-30.762,-56.152,-27.344,11.719,0
1711990017.64,-20.508,-53.223,-33.691,8.301,0
1711990017.643,8.789,-44.434,-30.762,28.32,0
1711990017.647,25.391,-46.387,-32.715,52.734,0
1711990017.65,1.953,-53.711,-38.574,67.871,0
1711990017.654,-35.645,-56.152,-48.34,26.855,0
1711990017.657,4.395,-47.363,-56.641,-17.09,0
1711990017.661,41.992,-38.086,-61.523,-7.812,0
1711990017.664,-21.973,-45.41,-56.152,8.301,0
1711990017.668,-4.395,-48.828,-54.199,40.527,0
1711990017.671,20.996,-50.781,-50.293,76.66,0
1711990017.674,-38.086,-48.828,-50.781,43.945,0
1711990017.678,-6.348,-43.945,-55.176,26.855,0
1711990017.681,19.531,-47.852,-40.039,45.898,0
1711990017.685,-22.461,-50.781,-35.156,15.625,0
1711990017.689,-51.27,-47.363,-38.574,14.16,0
1711990017.692,-13.672,-49.316,-40.527,27.832,0
1711990017.696,-35.645,-59.57,-36.621,7.324,0
1711990017.699,-110.352,-57.129,-37.598,-25.879,0
1711990017.702,-118.164,-57.129,-40.039,-19.043,0
1711990017.706,-92.285,-57.129,-35.156,-29.297,0
1711990017.709,-90.82,-51.27,-37.598,-45.898,0
1711990017.713,-119.141,-48.828,-34.18,-63.477,0
1711990017.716,-127.93,-45.41,-35.156,-71.289,0
1711990017.72,-107.422,-43.945,-47.852,-87.891,0
1711990017.723,-112.305,-43.457,-50.781,-82.52,0
1711990017.726,-180.176,-45.898,-49.805,-101.074,0
1711990017.731,-218.75,-51.758,-46.875,-100.098,0
1711990017.734,-176.758,-51.758,-47.852,-55.176,0
1711990017.738,-137.207,-50.781,-62.012,-117.676,0
1711990017.741,-130.371,-41.504,-67.383,-132.812,0
1711990017.745,-206.055,-46.875,-54.688,-81.543,0
1711990017.748,-221.68,-58.594,-54.199,-107.422,0
1711990017.752,-163.086,-54.688,-60.547,-104.98,0
1711990017.755,-150.879,-49.316,-63.965,-85.938,0
1711990017.758,-115.234,-50.293,-64.453,-77.148,0
1711990017.762,-122.559,-54.688,-60.547,-56.641,0
1711990017.765,-107.91,-56.152,-62.012,-26.367,0
1711990017.769,-83.984,-60.547,-72.754,-16.113,0
1711990017.774,-104.004,-68.848,-73.73,-34.18,0
1711990017.777,-72.754,-72.266,-70.312,-79.59,0
1711990017.781,-81.543,-67.871,-68.848,-125.488,0
1711990017.784,-103.027,-65.918,-74.707,-90.332,0
1711990017.787,-43.945,-60.059,-81.543,-50.293,0
1711990017.791,-13.672,-51.758,-86.914,-42.48,0
1711990017.794,-57.129,-58.105,-90.332,-44.434,0
1711990017.798,-46.875,-56.152,-90.332,-56.152,0
1711990017.801,-23.926,-50.293,-83.008,-42.969,0
1711990017.805,-16.602,-54.199,-71.289,-40.527,0
1711990017.808,-34.668,-59.082,-60.547,-13.184,0
1711990017.812,-4.395,-62.988,-51.27,7.324,0
1711990017.817,52.734,-58.105,-49.805,1.953,0
1711990017.82,-20.508,-60.059,-47.852,5.371,0
1711990017.824,-60.547,-64.453,-46.387,43.945,0
1711990017.827,-36.133,-66.406,-46.875,48.828,0
1711990017.83,-4.395,-64.941,-53.223,4.395,0
1711990017.834,-10.254,-76.172,-59.082,-27.344,0
1711990017.837,-8.301,-79.102,-69.824,-13.672,0
1711990017.841,-17.09,-79.102,-79.59,-4.395,0
1711990017.844,-50.293,-88.379,-75.195,-5.859,0
1711990017.848,-38.574,-93.75,-68.359,-14.648,0
1711990017.851,-47.363,-101.074,-75.195,-14.16,0
1711990017.855,-49.805,-101.562,-79.59,31.738,0
1711990017.86,-32.715,-114.258,-80.566,-16.113,0
1711990017.863,0.977,-131.836,-88.867,-78.125,0
1711990017.867,-66.895,-147.949,-90.82,-43.457,0
1711990017.87,-125,-168.457,-90.332,-32.715,0
1711990017.874,-81.055,-170.41,-88.379,-60.547,0
