start_timestamp,in_the_zone,is_mountain
1712564102.1313412,1,False
1712564102.932031,1,False
1712564103.7326548,1,False
1712564104.5332718,1,False
1712564105.333898,1,False
1712564106.1345263,1,False
1712564106.9351583,1,False
1712564107.7357907,1,False
1712564108.5364146,1,False
1712564109.33703,1,True
1712564110.1376517,1,False
1712564110.93828,1,False
1712564111.738895,1,True
1712564112.5395074,1,False
1712564113.3401282,1,False
1712564114.1407466,1,False
1712564114.9413607,1,False
1712564115.7419844,1,False
1712564116.542612,1,False
1712564117.3432243,1,False
1712564118.1438425,1,False
1712564118.9444692,1,False
1712564119.745094,1,False
1712564120.5457137,1,False
1712564121.3463366,1,False
1712564122.1469471,1,False
1712564122.9475605,1,False
1712564123.7481744,1,False
1712564124.5488188,1,False
1712564125.3494442,1,False
1712564126.1500652,1,True
1712564126.9506848,1,False
1712564127.7513154,1,False
1712564128.5519273,1,False
1712564129.3525488,1,False
1712564130.153174,1,False
1712564130.9537995,1,False
1712564131.7544255,1,False
1712564132.555036,1,False
1712564133.3556519,1,False
1712564134.1562665,1,False
1712564134.9568949,1,False
1712564135.757517,1,False
1712564136.5581858,1,False
1712564137.3587978,1,True
1712564138.1594255,1,False
1712564138.9600441,1,False
1712564139.760656,1,False
1712564140.561283,1,False
1712564141.3619173,1,False
1712564142.1625624,1,False
1712564142.963185,1,False
1712564143.7638378,1,False
1712564144.5644686,1,False
1712564145.3650928,1,False
1712564146.1657147,1,False
1712564146.9663348,1,False
1712564147.766953,1,False
1712564148.5675623,1,False
1712564149.3681726,1,False
1712564150.168795,1,False
1712564150.9694147,1,False
1712564151.7700474,1,False
1712564152.5706866,1,False
1712564153.3713124,1,False
1712564154.171926,1,False
1712564154.9725547,1,False
1712564155.7731714,1,False
1712564156.5737906,1,False
1712564157.3744164,1,False
1712564158.1750548,1,False
1712564158.9756758,1,False
1712564159.7763116,1,False
1712564160.5769389,1,False
1712564161.3775485,1,False
1712564162.1781654,1,False
