timestamps,TP9,AF7,AF8,TP10,Right AUX
1712565393.082,-1000,-1000,-669.434,952.148,0
1712565393.085,-342.285,-933.105,-567.383,-901.855,0
1712565393.089,938.965,301.27,-499.512,184.57,0
1712565393.094,-900.391,-841.797,-527.344,-1000,0
1712565393.097,441.406,579.102,-603.516,-193.848,0
1712565393.101,-1000,-817.383,-618.164,998.047,0
1712565393.104,-375,-956.543,-541.992,-908.203,0
1712565393.108,993.164,411.133,-488.281,287.598,0
1712565393.111,969.727,-941.895,-459.473,-1000,0
1712565393.115,983.398,932.617,-518.066,-132.324,0
1712565393.118,-515.137,-321.777,-571.289,-942.383,0
1712565393.122,-556.152,-1000,-557.129,939.453,0
1712565393.125,-989.258,410.156,-483.887,-979.98,0
1712565393.128,925.781,-972.168,-415.039,-440.918,0
1712565393.132,-884.277,-959.961,-477.051,-296.875,0
1712565393.137,-136.23,17.578,-589.844,-882.324,0
1712565393.141,-688.965,-1000,-545.898,879.883,0
1712565393.144,923.34,222.168,-399.902,-852.051,0
1712565393.148,951.172,-966.309,-367.676,56.152,0
1712565393.151,-885.254,-934.57,-453.613,-290.527,0
1712565393.155,122.559,184.57,-536.133,-936.523,0
1712565393.158,-826.172,-1000,-430.664,912.109,0
1712565393.162,701.66,58.105,-267.09,-862.793,0
1712565393.165,-991.211,-965.332,-316.895,158.691,0
1712565393.168,-916.992,-934.082,-412.598,-246.094,0
1712565393.172,172.363,331.543,-516.113,-943.848,0
1712565393.175,-1000,-1000,-517.09,931.641,0
1712565393.181,458.984,-74.219,-402.832,-937.988,0
1712565393.184,-957.52,-962.891,-259.277,629.395,0
1712565393.188,-941.406,-950.195,-269.531,182.617,0
1712565393.191,316.895,479.98,-466.797,974.609,0
1712565393.195,-1000,-1000,-522.461,970.215,0
1712565393.198,137.695,-195.312,-344.727,-990.723,0
1712565393.202,-936.523,-967.773,-93.262,819.824,0
1712565393.205,-957.031,-964.844,-131.348,420.898,0
1712565393.209,475.586,603.516,-434.57,922.363,0
1712565393.212,-1000,-959.473,-515.137,992.676,0
1712565393.216,-119.141,-327.148,-381.348,975.586,0
1712565393.219,-959.473,-988.77,-319.824,927.734,0
1712565393.225,-955.566,-983.887,-376.953,586.426,0
1712565393.228,601.074,749.512,-507.324,888.184,0
1712565393.232,-1000,-783.691,-553.711,999.512,0
1712565393.235,-256.348,-498.535,-507.324,966.309,0
1712565393.239,-968.262,944.336,-419.922,967.285,0
1712565393.242,-974.609,-982.91,-275.391,605.957,0
1712565393.246,732.91,832.031,-421.875,850.098,0
1712565393.249,-879.883,-597.168,-605.957,-995.117,0
1712565393.253,-285.645,-802.734,-509.277,935.059,0
1712565393.256,-959.961,673.828,-392.09,-905.762,0
1712565393.26,-991.211,-937.012,-416.992,-100.586,0
1712565393.263,764.16,843.262,-525.391,123.047,0
1712565393.27,-846.191,-451.172,-578.125,-866.211,0
1712565393.274,-538.574,-1000,-541.992,890.137,0
1712565393.277,945.312,291.504,-488.77,-877.441,0
1712565393.281,-973.145,-922.363,-495.605,-216.797,0
1712565393.284,823.73,899.414,-541.992,-191.406,0
1712565393.288,-690.43,-288.086,-592.773,-897.461,0
1712565393.291,-804.199,-1000,-547.852,922.852,0
1712565393.295,764.648,10.254,-493.652,-920.41,0
1712565393.298,-965.332,-949.219,-478.027,-335.449,0
1712565393.302,942.383,978.027,-510.254,-340.82,0
1712565393.305,-353.516,-119.629,-641.602,-937.5,0
1712565393.309,-1000,-1000,-622.07,959.961,0
1712565393.316,375,-132.324,-516.602,-992.676,0
1712565393.319,-932.617,-973.145,-480.957,-484.375,0
1712565393.323,-996.582,-977.539,-542.969,-411.621,0
1712565393.326,-151.855,-13.184,-643.555,-952.637,0
1712565393.33,-1000,-1000,-598.633,945.801,0
1712565393.334,115.723,-282.227,-482.91,-972.656,0
1712565393.337,-963.379,972.168,-477.051,-396.973,0
1712565393.341,-962.891,-937.988,-557.129,-818.359,0
1712565393.344,5.371,59.57,-579.102,791.504,0
1712565393.348,-1000,-1000,-556.641,-990.234,0
1712565393.351,-175.293,-458.984,-540.527,-982.422,0
1712565393.355,992.676,860.352,-498.047,-122.07,0
1712565393.362,-914.551,-887.207,-525.879,-1000,0
1712565393.365,165.039,117.676,-630.859,169.922,0
1712565393.369,-1000,-1000,-649.414,-935.547,0
1712565393.372,-193.848,-714.355,-538.086,-973.145,0
1712565393.376,-999.023,612.305,-477.051,20.508,0
1712565393.379,-926.27,-831.543,-505.371,-1000,0
1712565393.383,236.328,117.188,-595.703,-159.18,0
1712565393.386,-1000,-1000,-605.957,-987.305,0
1712565393.39,-485.352,-964.844,-511.23,-932.129,0
1712565393.394,883.789,240.723,-524.902,46.387,0
1712565393.397,-877.93,-789.551,-549.805,-1000,0
1712565393.401,194.336,131.836,-608.398,-183.594,0
1712565393.407,-1000,-1000,-651.367,-1000,0
1712565393.411,-829.102,-1000,-598.633,-927.734,0
1712565393.414,529.785,-83.496,-536.133,150.391,0
1712565393.418,-799.805,-797.852,-534.18,-1000,0
1712565393.422,146.484,221.191,-611.816,-400.391,0
1712565393.425,-1000,-1000,-651.855,916.504,0
1712565393.429,-1000,-1000,-589.844,-891.602,0
1712565393.432,115.234,-203.125,-480.957,204.102,0
1712565393.436,-763.672,-823.73,-489.746,-1000,0
1712565393.439,137.695,324.219,-632.324,-702.148,0
1712565393.443,-1000,-954.59,-696.777,687.988,0
1712565393.447,-1000,-1000,-625.488,-827.148,0
1712565393.453,-129.883,-281.738,-570.801,162.109,0
1712565393.456,-793.945,-868.164,-580.566,-1000,0
1712565393.46,259.766,450.684,-619.629,-991.699,0
1712565393.464,-987.793,-863.281,-690.918,269.531,0
1712565393.467,-1000,-1000,-654.297,-771.973,0
1712565393.471,-254.395,-356.445,-547.363,145.02,0
1712565393.474,-864.258,-961.426,-517.578,-1000,0
1712565393.478,612.305,715.332,-546.387,-1000,0
1712565393.482,-787.109,-597.168,-668.945,62.988,0
1712565393.485,-1000,-1000,-681.641,-771.484,0
1712565393.489,-183.105,-364.258,-552.734,361.328,0
1712565393.492,-998.047,932.617,-515.137,-953.613,0
1712565393.499,-961.914,-975.098,-597.656,-1000,0
1712565393.502,-143.555,-96.68,-678.711,23.926,0
1712565393.506,-1000,-1000,-649.414,-845.703,0
1712565393.509,-126.953,-382.812,-562.5,716.309,0
1712565393.513,-998.535,904.785,-526.367,-634.277,0
